strategy,model_name,compile_success,junit_success,tests_found,tests_failed,branch_covered,branch_missed,notes
original-combined,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,false,18,12,0,0,junit failure
original-combined,DeepSeek-Coder-1.3B-Instruct-GGUF,true,false,18,10,0,0,junit failure
edited-combined,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,false,18,1,0,0,junit failure
edited-combined,DeepSeek-Coder-1.3B-Instruct-GGUF,true,false,18,1,0,0,junit failure
selected-final,Manual-Selected,true,true,18,0,72,0,ok
